inicio,fim,alpha,beta,delta,theta,gamma
6875,7000,53.81254919466026,12.9921696666417,1.5940727349090993,99.99999999999999,0.0
7000,7125,58.237991003449594,11.872482409395209,1.3927749188119112,100.0,0.0
7125,7250,57.51468876304725,14.280491900762705,1.2556054245408115,100.0,0.0
7250,7375,68.63550632488156,28.922229749524675,1.1551817057013798,100.00000000000001,0.0
7375,7500,89.00303954327086,100.0,0.0,72.2422812315697,0.7420309723253169
7500,7625,89.21051033739886,100.0,0.0,63.53127374552107,0.5023738624770899
7625,7750,100.0,97.71571285753888,0.5292347927740586,63.7029211660392,0.0
7750,7875,95.79294538752684,100.0,0.0,47.414456016304825,0.71411937305331
7875,8000,100.00000000000001,75.57644904768414,0.0,27.967993445397227,0.9648442343702089
8000,8125,100.0,89.21943281645807,0.0,26.46045584392133,1.1505432508155105
8125,8250,100.0,65.79160299023127,0.0,24.03664619320787,0.7773554795154557
8250,8375,100.0,88.69291720005828,0.0,55.85954632254692,1.31857686052962
8375,8500,100.0,60.39048745995231,0.0,52.615243200796925,1.0044036837425074
8500,8625,100.00000000000001,64.93173679334834,0.0,72.34413936717065,0.5868004361985535
8625,8750,100.0,63.80424046090174,0.0,64.41119592238172,0.5513474761250305
8750,8875,99.99999999999999,82.10722956357696,0.0,48.38379181774414,0.9528980815841062
8875,9000,100.0,60.07678908956106,0.3692435367468816,46.242654187836195,0.0
9000,9125,100.0,60.3797407487229,0.0,45.597708706692025,0.36745119933507175
9125,9250,99.99999999999999,50.859493002302344,0.0,47.98932531634807,0.1697141386760599
9250,9375,99.99999999999999,50.05618534002336,0.0,38.93251651179537,0.4499988513815132
9375,9500,100.0,36.10863874894487,0.0,27.94706433103301,1.0536407610870404
9500,9625,100.0,29.93021134303821,0.0,25.89581885322676,1.1531392905532563
9625,9750,100.0,17.634605155719644,0.0,14.484446430898116,0.777026892425395
9750,9875,100.0,15.760481987471351,0.0,16.097649105189912,0.2160238053614063
9875,10000,99.99999999999999,14.934551083363859,0.0,13.241947627117185,0.2181680732762092
10000,10125,100.0,21.389058731473472,0.0,20.38597999567824,0.3290438316409878
10125,10250,100.0,18.864608047810385,0.0,12.839878135015054,0.11858732795094373
10250,10375,100.0,15.579161062745415,0.0,9.471289517045857,0.12076523038301373
10375,10500,100.0,16.4935706926622,0.0,7.75655720782198,0.240109171157371
10500,10625,100.00000000000001,18.03985281970191,0.0,7.438526093968719,0.31855999791726736
10625,10750,100.0,18.4408431267767,0.0,8.121376343250128,0.0315672043026195
10750,10875,100.0,15.993733501183762,0.0,8.200261981705289,0.18134950317382806
10875,11000,100.0,12.922259863192028,0.0,9.580442773472715,0.16117530558321952
11000,11125,99.99999999999999,16.094680134925035,0.2647715962620486,25.26760417422122,0.0
11125,11250,100.0,17.26627369227564,0.0,27.39466442539373,0.2395705721360768
11250,11375,100.0,24.630149788210744,0.02848644672771694,36.890611721746616,0.0
11375,11500,100.00000000000001,20.04080945569182,0.0,16.04686556283587,0.15865926547492482
11500,11625,100.0,22.71163664877407,0.0,17.934900679161977,0.2123876644303535
11625,11750,100.0,19.243668650216975,0.0,17.330635244906016,0.247536707835601
11750,11875,100.0,23.66133634563207,0.0,20.392832887451014,0.15822398067192156
11875,12000,100.00000000000001,15.748482895540088,0.0,16.49628172326198,0.2229931269699144
12000,12125,100.0,17.218692174426117,0.0,23.503940441323603,0.37459425310450595
12125,12250,100.0,14.637041873937035,0.0,14.349255558216377,0.05654440053679799
12250,12375,99.99999999999999,18.095171026661067,0.0,17.000805118836375,0.13830880413383606
12375,12500,100.0,18.703676798275353,0.01706217157713258,12.938051126706197,0.0
12500,12625,100.0,19.701228850628432,0.10348625618592855,18.033428064046948,0.0
12625,12750,100.0,20.52310600009022,0.0,19.49886811435257,0.18813313451382685
12750,12875,100.00000000000001,20.770003349487013,0.1314012389278847,19.962264452939102,0.0
12875,13000,100.0,18.902703665371238,0.0,27.23607327509242,0.44894270138541537
13000,13125,99.99999999999999,25.672417987444568,0.0,30.17998885607608,0.13771488323422254
13125,13250,100.0,26.162285135167508,0.0,26.688364370416842,0.34017283518259034
13250,13375,99.99999999999999,22.128207749072377,0.0,13.561154659252473,0.38096061280785415
13375,13500,100.0,21.677439960396033,0.0,15.940119788701452,0.24510461400696615
13500,13625,100.0,20.2493487342705,0.029688771083008603,18.29561031809724,0.0
13625,13750,100.0,27.270167719508947,0.15502249920049938,24.806671343406514,0.0
13750,13875,100.0,30.233182249842187,0.0,26.862798235062286,0.3281240058408137
